EMPLOYEEID;DIVISIONID;DEPARTMENTID;JOBID;JOBCLASSIFICATIONID;MANAGERID;EXITREASON;DATE;EXITDATE;FTE;STANDARDWEEKLYHOURS;WORKINGDAYSPERWEEK;SALARY
E034854;DIV04;DEP021;444;JC_Expert;M095280;Undisclosed;20180103;20991231;1;40;5; 71.554,00 
E035402;DIV02;DEP021;371;JC_Associate;M252825;Undisclosed;20210211;20991231;1;40;5; 35.253,00 
E003682;DIV03;DEP021;450;JC_Associate;M237930;Undisclosed;20201027;20991231;1;40;5; 63.495,00 
E035925;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 246.564,00 
E036686;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 96.062,00 
E036805;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 70.701,00 
E037122;DIV03;DEP023;445;JC_Manager;M237930;Undisclosed;20180103;20991231;1;40;5; 105.470,00 
E037286;DIV02;DEP023;453;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 75.561,00 
E037827;DIV02;DEP031;371;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5; 103.513,00 
E037981;DIV04;DEP031;442;JC_Specialist;M096889;Undisclosed;20180103;20991231;1;40;5; 50.576,00 
E003720;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20200127;20991231;1;40;5; 118.397,00 
E038261;DIV03;DEP031;392;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 102.188,00 
E038588;DIV02;DEP031;461;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5; 88.110,00 
E003956;DIV04;DEP031;452;JC_Senior specialist;M200979;Undisclosed;20200629;20991231;1;40;5; 79.633,00 
E039236;DIV03;DEP031;231;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 134.907,00 
E039468;DIV04;DEP031;443;JC_Senior specialist;M095280;Undisclosed;20210103;20991231;1;40;5; 83.311,00 
E039897;DIV03;DEP031;252;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 59.386,00 
E040731;DIV09;DEP031;443;JC_Senior specialist;M300121;Undisclosed;20180103;20991231;1;40;5; 52.418,00 
E041119;DIV03;DEP031;371;JC_Associate;M237930;Undisclosed;20180103;20991231;1;40;5; 73.637,00 
E041336;DIV02;DEP031;445;JC_Manager;M252825;Undisclosed;20180103;20991231;1;40;5; 36.273,00 
E041378;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 351.454,00 
E042076;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 23.851,00 
E042116;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 91.690,00 
M042395;DIV06;DEP031;341;JC_Senior specialist;M042395;Undisclosed;20180103;20991231;1;40;5; 28.216,00 
E042444;DIV03;DEP031;231;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 115.749,00 
E042449;DIV03;DEP031;452;JC_Senior specialist;M266882;Undisclosed;20180103;20991231;1;40;5; 50.784,00 
E042648;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 28.219,00 
E042934;DIV03;DEP031;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5; 94.958,00 
E043111;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5; 94.493,00 
E043212;DIV03;DEP031;444;JC_Expert;M237930;Undisclosed;20180203;20991231;1;40;5; 49.190,00 
E043216;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5; 225.702,00 
E043497;DIV09;DEP031;232;JC_Senior specialist;M300121;Undisclosed;20180203;20991231;1;40;5; 57.212,00 
E043857;DIV02;DEP031;401;JC_Associate;M252825;Undisclosed;20180203;20991231;1;40;5; 97.815,00 
E044209;DIV09;DEP031;231;JC_Specialist;M300121;Undisclosed;20210103;20991231;1;40;5; 91.877,00 
E044465;DIV03;DEP031;446;JC_Director;M237930;Undisclosed;20191207;20991231;1;40;5; 83.558,00 
E044724;DIV03;DEP031;450;JC_Associate;M237930;Undisclosed;20180203;20991231;1;40;5; 111.983,00 
M044771;DIV06;DEP031;392;JC_Senior specialist;M044771;Undisclosed;20180203;20991231;1;40;5; 77.245,00 
E045291;DIV02;DEP031;445;JC_Manager;M252825;Undisclosed;20180203;20991231;1;40;5; 88.992,00 
E045576;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180203;20991231;1;40;5; 80.214,00 
E008072;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20200129;20991231;1;40;5; 68.885,00 
E047301;DIV03;DEP031;321;JC_Specialist;M237930;Undisclosed;20180203;20991231;1;40;5; 116.391,00 
E047628;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5; 262.794,00 
E048203;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20180303;20991231;1;40;5; 266.190,00 
E049035;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20180303;20991231;1;40;5; 60.591,00 
E049278;DIV03;DEP031;445;JC_Manager;M266882;Undisclosed;20180303;20991231;1;40;5; 27.732,00 
E049529;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180303;20991231;1;40;5; 118.156,00 
E049665;DIV02;DEP031;233;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5; 91.165,00 
E009586;DIV03;DEP031;445;JC_Manager;M237930;Undisclosed;20200128;20991231;1;40;5; 247.845,00 
E049840;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180303;20991231;1;40;5; 64.816,00 
E049894;DIV03;DEP031;411;JC_Associate;M237930;Undisclosed;20180303;20991231;1;40;5; 111.055,00 
E049972;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180303;20991231;1;40;5; 99.720,00 
E050084;DIV04;DEP031;442;JC_Specialist;M200979;Undisclosed;20180303;20991231;1;40;5; 54.469,00 
E050121;DIV02;DEP031;450;JC_Associate;M252825;Undisclosed;20180303;20991231;1;40;5; 52.025,00 
E050232;DIV03;DEP031;455;JC_Director;M237930;Undisclosed;20180303;20991231;1;40;5; 69.405,00 
E050876;DIV02;DEP031;450;JC_Associate;M252825;Undisclosed;20180303;20991231;1;40;5; 37.111,00 
E051425;DIV05;DEP031;341;JC_Associate;M044139;Undisclosed;20180303;20991231;1;40;5; 26.368,00 
E051673;DIV04;DEP031;444;JC_Expert;M019974;Undisclosed;20180303;20991231;1;40;5; 35.096,00 
E052176;DIV09;DEP031;450;JC_Associate;M300121;Undisclosed;20180303;20991231;1;40;5; 88.725,00 
E052710;DIV03;DEP031;442;JC_Specialist;M237930;Undisclosed;20180303;20991231;1;40;5; 63.816,00 
E052792;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5; 93.766,00 
E053339;DIV02;DEP031;252;JC_Specialist;M252825;Undisclosed;20180403;20991231;1;40;5; 138.443,00 
E053570;DIV05;DEP031;452;JC_Senior specialist;M044139;Undisclosed;20180403;20991231;1;40;5; 22.771,00 
E054330;DIV05;DEP031;361;JC_Associate;M044139;Undisclosed;20180403;20991231;1;40;5; 43.322,00 
E054381;DIV04;DEP031;452;JC_Senior specialist;M095280;Undisclosed;20210201;20991231;1;40;5; 70.723,00 
E054607;DIV02;DEP031;404;JC_Expert;M252825;Undisclosed;20180403;20991231;1;40;5; 113.550,00 
E055236;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180403;20991231;1;40;5; 70.478,00 
E055438;DIV03;DEP031;444;JC_Expert;M237930;Undisclosed;20180403;20991231;1;40;5; 266.418,00 
E055687;DIV03;DEP031;392;JC_Senior specialist;M237930;Undisclosed;20180403;20991231;1;40;5; 52.742,00 
E056710;DIV02;DEP031;443;JC_Senior specialist;M252825;Undisclosed;20180403;20991231;1;40;5; 112.936,00 
E056816;DIV03;DEP031;452;JC_Senior specialist;M237930;Undisclosed;20180403;20991231;1;40;5; 74.291,00 
E056995;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180403;20991231;1;40;5; 105.169,00 
E057557;DIV02;DEP031;443;JC_Senior specialist;M252825;Undisclosed;20180603;20991231;1;40;5; 93.492,00 
E057879;DIV03;DEP031;292;JC_Specialist;M237930;Undisclosed;20180603;20991231;1;40;5; 135.724,00 
E057888;DIV09;DEP031;444;JC_Expert;M300121;Undisclosed;20180603;20991231;1;40;5; 36.724,00 
E058220;DIV03;DEP031;454;JC_Manager;M266882;Undisclosed;20210112;20991231;1;40;5; 35.465,00 
E058269;DIV05;DEP031;445;JC_Manager;M044139;Undisclosed;20180603;20991231;1;40;5; 52.243,00 
E058435;DIV01;DEP031;450;JC_Associate;M144808;Undisclosed;20180603;20991231;1;40;5; 46.345,00 
E059034;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5; 107.881,00 
E059116;DIV03;DEP041;461;JC_Associate;M237930;Undisclosed;20180603;20991231;1;40;5; 70.802,00 
E011442;DIV03;DEP041;453;JC_Expert;M237930;Undisclosed;20200609;20991231;1;40;5; 291.905,00 
E060532;DIV02;DEP041;452;JC_Senior specialist;M252825;Undisclosed;20191130;20991231;1;40;5; 66.376,00 
E060808;DIV03;DEP041;452;JC_Senior specialist;M237930;Undisclosed;20191206;20991231;1;40;5; 119.073,00 
E061178;DIV03;DEP041;452;JC_Senior specialist;M237930;Undisclosed;20180603;20991231;1;40;5; 52.919,00 
E061217;DIV03;DEP041;444;JC_Expert;M237930;Undisclosed;20180603;20991231;1;40;5; 252.363,00 
E061830;DIV02;DEP041;452;JC_Senior specialist;M252825;Undisclosed;20180603;20991231;1;40;5; 80.540,00 
E062112;DIV02;DEP041;381;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5; 412.790,00 
E062171;DIV03;DEP041;450;JC_Associate;M237930;Undisclosed;20180603;20991231;1;40;5; 225.831,00 
E062287;DIV03;DEP041;443;JC_Senior specialist;M237930;Undisclosed;20180603;20991231;1;40;5; 92.770,00 
E062392;DIV02;DEP041;450;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5; 79.004,00 
E062414;DIV05;DEP041;361;JC_Associate;M044139;Undisclosed;20180603;20991231;1;40;5; 36.394,00 
E062439;DIV02;DEP041;261;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5; 66.727,00 
E062470;DIV02;DEP042;261;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5; 90.929,00 
E063021;DIV02;DEP042;442;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5; 89.194,00 
E063203;DIV09;DEP042;452;JC_Senior specialist;M300121;Undisclosed;20180903;20991231;1;40;5; 71.862,00 
E063284;DIV01;DEP042;453;JC_Expert;M144808;Undisclosed;20180903;20991231;1;40;5; 52.907,00 
E063710;DIV02;DEP042;231;JC_Specialist;M252825;Undisclosed;20180903;20991231;1;40;5; 104.345,00 
E064758;DIV03;DEP042;443;JC_Senior specialist;M237930;Undisclosed;20180903;20991231;1;40;5; 96.544,00 
E064790;DIV02;DEP042;452;JC_Senior specialist;M252825;Undisclosed;20180903;20991231;1;40;5; 83.483,00 
E065013;DIV03;DEP042;445;JC_Manager;M237930;Undisclosed;20190609;20991231;1;40;5; 109.320,00 
E065354;DIV04;DEP042;442;JC_Specialist;M200979;Undisclosed;20210103;20991231;1;40;5; 87.728,00 
E066221;DIV03;DEP042;453;JC_Expert;M237930;Undisclosed;20180903;20991231;1;40;5; 103.666,00 
E066493;DIV02;DEP042;453;JC_Expert;M252825;Undisclosed;20180903;20991231;1;40;5; 286.844,00 
E066909;DIV02;DEP042;452;JC_Senior specialist;M252825;Undisclosed;20180903;20991231;1;40;5; 92.466,00 
E067408;DIV03;DEP042;444;JC_Expert;M266882;Undisclosed;20180903;20991231;1;40;5; 31.670,00 
E067571;DIV02;DEP042;401;JC_Associate;M252825;Undisclosed;20180903;20991231;1;40;5; 104.235,00 
E067594;DIV03;DEP042;462;JC_Specialist;M237930;Undisclosed;20180903;20991231;1;40;5; 116.995,00 
E068195;DIV02;DEP043;461;JC_Associate;M252825;Undisclosed;20180903;20991231;1;40;5; 254.002,00 
E068446;DIV02;DEP043;292;JC_Specialist;M252825;Undisclosed;20180903;20991231;1;40;5; 92.276,00 
E069180;DIV04;DEP043;281;JC_Associate;M095280;Undisclosed;20180903;20991231;1;40;5; 53.065,00 
E069610;DIV09;DEP043;452;JC_Senior specialist;M300121;Undisclosed;20180903;20991231;1;40;5; 67.892,00 
E069773;DIV09;DEP043;442;JC_Specialist;M300121;Undisclosed;20180903;20991231;1;40;5; 59.148,00 
E069905;DIV02;DEP043;442;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5; 80.528,00 
E069908;DIV06;DEP043;442;JC_Specialist;M042395;Undisclosed;20180203;20991231;1;40;5; 31.801,00 
E070521;DIV02;DEP043;452;JC_Senior specialist;M252825;Undisclosed;20190926;20991231;1;40;5; 71.721,00 
E070570;DIV03;DEP044;444;JC_Expert;M237930;Undisclosed;20180203;20991231;1;40;5; 71.270,00 
E070596;DIV02;DEP044;453;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5; 91.217,00 
E071255;DIV02;DEP044;442;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5; 94.877,00 
E071888;DIV03;DEP044;445;JC_Manager;M237930;Undisclosed;20180203;20991231;1;40;5; 72.604,00 
E072221;DIV03;DEP044;445;JC_Manager;M237930;Undisclosed;20191129;20991231;1;40;5; 68.903,00 
E072275;DIV04;DEP044;452;JC_Senior specialist;M095280;Undisclosed;20180203;20991231;1;40;5; 40.808,00 
E072374;DIV06;DEP044;442;JC_Specialist;M042395;Undisclosed;20180203;20991231;1;40;5; 31.548,00 
E014067;DIV03;DEP044;455;JC_Director;M237930;Undisclosed;20200105;20991231;1;40;5; 110.086,00 
E073936;DIV02;DEP044;445;JC_Manager;M252825;Undisclosed;20180203;20991231;1;40;5; 91.155,00 
E074087;DIV03;DEP044;443;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5; 81.101,00 
E074121;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5; 80.172,00 
E074234;DIV09;DEP044;292;JC_Specialist;M300121;Undisclosed;20180203;20991231;1;40;5; 94.480,00 
E074375;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180203;20991231;1;40;5; 105.916,00 
E074415;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5; 267.910,00 
E074517;DIV04;DEP044;452;JC_Senior specialist;M095280;Undisclosed;20180203;20991231;1;40;5; 98.060,00 
E074901;DIV02;DEP044;402;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5; 85.348,00 
E074948;DIV02;DEP044;211;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5; 62.131,00 
E075436;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 112.902,00 
E076345;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 261.267,00 
E077136;DIV06;DEP044;443;JC_Senior specialist;M044771;Undisclosed;20190626;20991231;1;40;5; 99.218,00 
E077381;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 110.656,00 
E016296;DIV03;DEP044;442;JC_Specialist;M237930;Undisclosed;20191231;20991231;1;40;5; 40.915,00 
E078389;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 80.287,00 
E078426;DIV02;DEP051;383;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 112.101,00 
E078612;DIV02;DEP051;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 253.672,00 
E078681;DIV02;DEP051;454;JC_Manager;M252825;Undisclosed;20180103;20991231;1;40;5; 231.922,00 
E078928;DIV02;DEP051;461;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5; 106.527,00 
E079068;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 423.605,00 
E079106;DIV03;DEP051;444;JC_Expert;M237930;Undisclosed;20191120;20991231;1;40;5; 343.289,00 
E080578;DIV09;DEP051;442;JC_Specialist;M300121;Undisclosed;20191031;20991231;1;40;5; 86.517,00 
E081389;DIV03;DEP051;454;JC_Manager;M237930;Undisclosed;20180103;20991231;1;40;5; 269.447,00 
E081543;DIV05;DEP051;443;JC_Senior specialist;M044139;Undisclosed;20190527;20991231;1;40;5; 78.133,00 
E084061;DIV03;DEP051;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 247.335,00 
E084077;DIV04;DEP051;231;JC_Specialist;M019974;Undisclosed;20180103;20991231;1;40;5; 29.499,00 
E084143;DIV02;DEP051;443;JC_Senior specialist;M252825;Undisclosed;20210108;20991231;1;40;5; 258.951,00 
E084183;DIV03;DEP051;402;JC_Specialist;M266882;Undisclosed;20180103;20991231;1;40;5; 72.881,00 
E084490;DIV02;DEP051;252;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 107.746,00 
E084661;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 307.155,00 
